accuracy,auc,f1_score,false_negatives,false_positives,fbeta_score,loss,precision,precision_at_recall,recall,recall_at_precision,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_auc,val_f1_score,val_false_negatives,val_false_positives,val_fbeta_score,val_loss,val_precision,val_precision_at_recall,val_recall,val_recall_at_precision,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives,run_version
0.5928753018379211,0.5196300745010376,0.0830945372581482,600.0,40.0,0.0560928359627723,20.17535972595215,0.4202898442745209,0.4024835526943207,0.0461049266159534,0.0,0.2162162214517593,0.132555678486824,903.0,29.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6851677894592285,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4815585613250732,0.0,629.0,0.0,0.0,0.6830512881278992,0.0,0.4001272320747375,0.0,0.0,0.1303656548261642,0.1177094355225563,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6791610717773438,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4901744723320007,0.0,629.0,0.0,0.0,0.6784986853599548,0.0,0.4027962684631347,0.0,0.0031796502880752,0.1240063607692718,0.1548250317573547,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6756784319877625,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4992944300174713,0.0,629.0,0.0,0.0,0.6756211519241333,0.0,0.4001272320747375,0.0,0.0,0.1430842578411102,0.1802757084369659,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6733887791633606,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4833185970783233,0.0,629.0,0.0,0.0,0.6753836870193481,0.0,0.4001272320747375,0.0,0.0,0.1319554895162582,0.1633085906505584,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6725974678993225,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4869762659072876,0.0,629.0,0.0,0.0,0.674727201461792,0.0,0.4001272320747375,0.0,0.0,0.1891891956329345,0.0127253448590636,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6723648905754089,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.492504358291626,0.0,629.0,0.0,0.0,0.6742249131202698,0.0,0.4001272320747375,0.0,0.0,0.1844197064638137,0.0625662803649902,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6721096634864807,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.5099705457687378,0.0,629.0,0.0,0.0,0.6732226014137268,0.0,0.4001272320747375,0.0,0.0,0.2241653352975845,0.0127253448590636,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6721327304840088,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4954201579093933,0.0,629.0,0.0,0.0,0.6739409565925598,0.0,0.4001272320747375,0.0,0.0,0.1764705926179886,0.0,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6719822287559509,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.5998727679252625,0.4723095893859863,0.0,629.0,0.0,0.0,0.6754252314567566,0.0,0.4001272320747375,0.0,0.0,0.1748807579278946,0.0,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6720526218414307,0.0,0.3969465792179107,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950107
0.6005089282989502,0.508225679397583,0.03975534439086914,616.0,12.0,0.025580478832125664,19.060810089111328,0.5199999809265137,0.4000000059604645,0.020667726173996925,0.0,0.09856915473937988,0.15694591403007507,931.0,13.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6830618977546692,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.48627322912216187,0.0,629.0,0.0,0.0,0.6809554100036621,0.0,0.40012723207473755,0.0,0.0,0.09220985323190689,0.07211028784513474,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6775457859039307,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.47371476888656616,0.0,629.0,0.0,0.0,0.6774532794952393,0.0,0.40066006779670715,0.0,0.0015898251440376043,0.12082670629024506,0.09968186914920807,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6742125749588013,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.49291154742240906,0.0,629.0,0.0,0.0,0.6747959852218628,0.0,0.4012490212917328,0.0,0.0,0.1732909381389618,0.18663838505744934,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6729730367660522,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.5059546828269958,0.0,629.0,0.0,0.0,0.6737911701202393,0.0,0.4067796468734741,0.0,0.0,0.13513512909412384,0.22057263553142548,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6723471283912659,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.4988729655742645,0.0,629.0,0.0,0.0,0.6738501191139221,0.0,0.4017857015132904,0.0,0.0015898251440376043,0.14626391232013702,0.14740191400051117,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6721557378768921,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.49404531717300415,0.0,629.0,0.0,0.0,0.6738526821136475,0.0,0.40959998965263367,0.0,0.0,0.13354530930519104,0.21739129722118378,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6718524694442749,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.4929216504096985,0.0,629.0,0.0,0.0,0.6737444400787354,0.0,0.4023076891899109,0.0,0.0,0.14467409253120422,0.17603392899036407,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6718329191207886,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.4945586919784546,0.0,629.0,0.0,0.0,0.6739080548286438,0.0,0.40156862139701843,0.0,0.0031796502880752087,0.20667727291584015,0.1908801645040512,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6719050407409668,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
0.5998727679252625,0.49461430311203003,0.0,629.0,0.0,0.0,0.6737565398216248,0.0,0.40012723207473755,0.0,0.0,0.157392680644989,0.16330859065055847,943.0,0.0,0.6030534505844116,0.5,0.0,156.0,0.0,0.0,0.6717737913131714,0.0,0.39694657921791077,0.0,0.0,0.0,0.0,237.0,0.0,run_version_002_1733950136
